x,y,z,label
-92.29403174029308,10.779219636259196,-0.7000018215757109,blue_cone
-96.66740119411699,9.16797252780405,-0.7000018215758246,blue_cone
-99.66047655585919,6.927978384081488,-0.7000017946096477,blue_cone
-99.80767480721971,3.786972405442892,-0.7000018172889213,blue_cone
-97.13252078867689,1.2129068144589397,-0.7000017995154622,blue_cone
-93.1493447134386,-0.891973293029853,-0.7000017941206806,blue_cone
-88.63817961877844,-2.6146269155049993,-0.7000017946446633,blue_cone
-84.37248646186998,-4.170366768252734,-0.7000017943596504,blue_cone
-80.06904415387216,-6.386730616829716,-0.7000018697939367,blue_cone
-76.96725222885638,-9.328795946707968,-0.7000017945985064,blue_cone
-74.58310662303984,-12.96734444469249,-0.7000017941110173,blue_cone
-71.95431130817627,-17.001356816067773,-0.7000017943669263,blue_cone
-69.03936973369673,-20.0026003060206,-0.7000099746674096,blue_cone
-65.34274345029363,-22.083252675264326,-0.7000017943722696,blue_cone
-61.072463615803976,-22.622889557795048,-0.700001794376476,blue_cone
-57.39358558067406,-21.225004861855812,-0.7000017943786361,blue_cone
-54.45512022503359,-18.265257431689168,-0.7000017990575316,blue_cone
-52.20298055985168,-14.16094817402628,-0.7000017943657895,blue_cone
-50.626481631571835,-9.792557624711751,-0.7000017964949166,blue_cone
-49.25332388139527,-5.4642269364317455,-0.7000017943757939,blue_cone
-47.39954071466227,-1.7522232137469267,-0.700001799123811,blue_cone
-44.42358212951424,0.3928279825630945,-0.700001819068234,blue_cone
-40.36238526027808,0.7410469985053911,-0.7000017943589683,blue_cone
-35.98735655793553,0.03652888445432989,-0.7000018000601358,blue_cone
-31.507283411621472,-0.9712944539258279,-0.700001794385912,blue_cone
-26.448230455661744,-2.079206403322032,-0.7000017994162135,blue_cone
-21.963327678638187,-2.891027313364678,-0.7000026982941563,blue_cone
-17.44322556708483,-3.459133921042514,-0.7000017991917957,blue_cone
-12.296233379944846,-3.68264923057038,-0.7000018062883555,blue_cone
-7.840315947798711,-3.33362932506113,-0.7000017919463062,blue_cone
-4.023161777393856,-2.2728955706271834,-0.7000018004995354,blue_cone
-1.676184569669178,0.10879427652798657,-0.7000018007515791,blue_cone
-3.5263481444381806,3.2352019529781413,-0.7000017944058072,blue_cone
-6.985603196179775,5.720791770176441,-0.7000017998649355,blue_cone
-11.122277359721867,7.919533697012206,-0.7000026982880172,blue_cone
-15.5122219298379,10.125536834494037,-0.7000186701352504,blue_cone
-19.23343022407341,12.286208187956039,-0.7000017943995545,blue_cone
-23.341015167532287,14.750757051226103,-0.7000017943856847,blue_cone
-27.463556210045823,15.951615086260684,-0.7000018329458726,blue_cone
-31.424048447898855,15.739920503177245,-0.7000017985008071,blue_cone
-36.100235557382184,14.35260426935642,-0.7000017970093495,blue_cone
-39.923713615082036,12.61272352172,-0.7000017943759076,blue_cone
-44.13259069322171,10.377478049734336,-0.7000018190672108,blue_cone
-48.45633042780976,8.354871871724896,-0.700001794372497,blue_cone
-52.197253105445995,7.901105112140682,-0.7000018697059431,blue_cone
-55.55814607031724,9.62851595662216,-0.7000099827100712,blue_cone
-58.53657894365702,13.450330348959506,-0.7000017943655621,blue_cone
-60.87369296321211,17.27551268561089,-0.7000018252442715,blue_cone
-63.46651178665371,21.334549411662152,-0.7000017943611283,blue_cone
-66.29270703736739,25.013868329347723,-0.7000017948868162,blue_cone
-69.52608281882218,28.005751042105867,-0.7000017952267399,blue_cone
-72.89711000649423,29.251600464658587,-0.7000113124358904,blue_cone
-75.28104324444601,27.214128558742928,-0.700001794130344,blue_cone
-76.49726793467488,23.132264567487432,-0.7000100018121884,blue_cone
-77.58856806649631,18.536063115927405,-0.7000017952267399,blue_cone
-79.5908754927341,15.259893067786518,-0.7000017949158064,blue_cone
-83.04987743719161,13.184721980763111,-0.7000017943562398,blue_cone
-93.18340420623791,13.935381369100472,-0.7000047603987696,yellow_cone
-97.09122353586635,12.583587828752162,-0.7000056506581132,yellow_cone
-100.86709816278582,10.360381292200838,-0.7000019096356027,yellow_cone
-103.21691326352529,7.204539700034559,-0.7000018215759383,yellow_cone
-103.23844844534358,3.41931181086451,-0.7000017969755845,yellow_cone
-101.04545236079353,0.1553916051052262,-0.7000017996006136,yellow_cone
